Inst #;School Name;2015 Decile;"2015 
Step";Decile Change;Step Change;"July 2014 Funding roll
Years 9+";"July 2014 Funding roll
Total ";School Type;Authority;Territorial Local Authority;Regional Council;Ministry of Education Local Office;General Electorate;M?ori Electorate;Telephone;Fax;Email;Principal;School website;Physical address;Suburb;City;Postal Address 1;Postal Address 2;Postal Address 3;Postal Code;Urban Area;School Type;Definition;Authority;Gender of Students;Education Region;Census Area Unit;Ward;Latitude;Longitude ;Total School Roll (Sep15);European/ Pakeha;Maori;Pasifika;Asian;MELAA;Other;International Students
2378;Keith Street School;2;F;0;2;0;229;Contributing;State;Wanganui District;Manawatu-Wanganui Region;Whanganui;Whanganui;Te Tai Hauauru;06 3491111;06 3491112;keithst@xtra.co.nz;Linda Ireton;http://www.keithst.school.nz;38 Keith Street;0;Whanganui;38 Keith Street;0;Whanganui;4500;Main Urban Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Taranaki/Whanganui/Manawatu;Laird Park;Area Outside Ward;-39.922.316;175.046.264;211;63;135;10;3;0;0;0
2876;Kelburn Normal School;10;Z;0;0;0;286;Full Primary;State;Wellington City;Wellington Region;Wellington;Wellington Central;Te Tai Tonga;04 4759351;04 4756288;admin@kelburnnormal.school.nz;Andrew McFarlane;http://www.kelburnnormal.school.nz/;Kowhai Road;Kelburn;Wellington;Kowhai Road;Kelburn;Wellington;6012;Main Urban Area;Full Primary;Normal School;State: Not integrated;Co-Educational;Wellington;Kelburn;Lambton Ward;-41.287.277;174.761.649;317;253;11;6;32;3;7;5
2877;Kelson School;9;Q;-1;-1;0;199;Contributing;State;Lower Hutt City;Wellington Region;Wellington;Hutt South;Ikaroa-Rawhiti;04 5650450;04 5650097;office@kelson.school.nz;Judy Pemberton;http://www.kelson.school.nz;52 Taieri Crescent;Kelson;Lower Hutt;52 Taieri Crescent;Kelson;Lower Hutt;5010;Main Urban Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Wellington;Kelson;Western Ward;-41.180.638;174.933.121;199;139;21;14;23;2;0;0
83;Kelston Boys' High School;3;H;-1;-2;814;814;Secondary (Year 9-15);State;Auckland- Whau;Auckland Region;Auckland North;Kelston;Tamaki Makaurau;09 8186185;09 8186183;k.fearnley@kbhs.school.nz;Brian Evans;http://www.kbhs.school.nz;Archibald Road;New Lynn;Auckland;PO Box 15103;New Lynn;Waitakere;640;Main Urban Area;Secondary (Year 9-15);Not Applicable;State: Not integrated;Boys School;Auckland;Kelston Central;Whau Ward;-36.898.785;174.666.886;743;73;125;422;68;23;6;26
503;Kelston Deaf Education Centre;2;F;-1;-2;70;111;Special School;State;Auckland- Whau;Auckland Region;Auckland North;Kelston;Tamaki Makaurau;09 8274859;09 8279819;kdec@kdec.school.nz;David Foster;http://www.kdec.school.nz;3 Archibald Road;Kelston;Auckland;Private Bag 93008;New Lynn;Auckland;640;Main Urban Area;Special School;Sch. for Deaf/Hearing Impaired;State: Not integrated;Co-Educational;Auckland;Kelston Central;Whau Ward;-36.905.313;174.664.991;110;17;33;29;18;11;2;0
84;Kelston Girls' College;2;F;-1;-3;517;517;Secondary (Year 9-15);State;Auckland- Whau;Auckland Region;Auckland North;Kelston;Tamaki Makaurau;09 8276063;09 8273996;reception@kelstongirls.school.nz;Linda Fox;http://www.kelstongirls.school.nz;Great North Road;New Lynn;Auckland;PO Box 15798;New Lynn;Waitakere;640;Main Urban Area;Secondary (Year 9-15);Not Applicable;State: Not integrated;Girls School;Auckland;Kelston Central;Whau Ward;-36.908.063;174.664.361;551;21;86;324;69;38;8;5
1330;Kelston Intermediate;2;F;-1;-2;0;261;Intermediate;State;Auckland- Whau;Auckland Region;Auckland North;Kelston;Tamaki Makaurau;09 8185544;09 8188894;rupelp@kelstonint.school.nz;Phillip Gordon;http://www.kelstonint.school.nz;Vanguard Road;Kelston;Auckland;Vanguard Road;Kelston;Waitakere;602;Main Urban Area;Intermediate;Not Applicable;State: Not integrated;Co-Educational;Auckland;Kelston Central;Whau Ward;-36.897.624;174.663.896;244;10;45;145;36;7;1;0
1331;Kelston School;3;G;0;-2;0;332;Contributing;State;Auckland- Whau;Auckland Region;Auckland North;Kelston;Tamaki Makaurau;09 8272187;09 8277021;admin@kelstonprimary.school.nz;Clifford Hughes;http://www.kelstonprimary.school.nz;5 Archibald Road;Kelston;Auckland;5 Archibald Road;Kelston;Waitakere;602;Main Urban Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Auckland;Kelston Central;Whau Ward;-36.903.467;174.665.451;325;23;65;141;77;17;2;0
1332;Kelvin Road School;1;A;0;0;0;395;Contributing;State;Auckland- Papakura;Auckland Region;Auckland South;Papakura;Hauraki-Waikato;09 2988417;09 2988450;secretary@krs.ac.nz;Thomas Robertson;http://www.krs.ac.nz;Kelvin Road;0;Papakura;74 Kelvin Road;0;Papakura;2110;Main Urban Area;Contributing;Bilingual Year 7-8 School;State: Not integrated;Co-Educational;Auckland;Papakura East;Manurewa-Papakura Ward;-37.063.363;174.959.609;428;18;312;81;16;1;0;0
2878;Kenakena School;7;O;-1;-1;0;529;Full Primary;State;Kapiti Coast District;Wellington Region;Wellington;Otaki;Te Tai Hauauru;04 2984011;0;accounts@kenakena.school.nz;Bruce McDonald;http://www.kenakena.school.nz;Donovan Road;0;Paraparaumu Beach;PO Box 1441;Paraparaumu Beach;Paraparaumu;5252;Main Urban Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Wellington;Paraparaumu Beach North;Paraparaumu Ward;-40.884.056;174.992.265;517;364;108;11;14;18;0;2
1775;Kerepehi School;2;E;1;3;0;59;Full Primary;State;Hauraki District;Waikato Region;Hamilton;Coromandel;Hauraki-Waikato;07 8676773;07 8676004;office@kerepehi.school.nz;Moana Te Moananui;0;McGowan Avenue;0;Kerepehi;McGowan Avenue RD 1;0;Paeroa;3671;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Waikato;Kerepehi;Plains Ward;-37.297.058;175.540.884;51;6;44;1;0;0;0;0
1424;Kereru Park Campus;1;C;0;0;0;99;Full Primary;State;Auckland- Papakura;Auckland Region;Auckland South;Papakura;Hauraki-Waikato;09 2969040;09 2969046;admin@kererupark.school.nz;George Ihimaera;0;58 Beach Road;0;Papakura;PO Box 72586;0;Papakura;2244;Main Urban Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Auckland;Rosehill;Manurewa-Papakura Ward;-37.074.483;174.936.647;115;3;96;11;4;0;1;0
2585;Kereru School;9;Q;-3;-3;0;32;Full Primary;State;Hastings District;Hawkes Bay Region;Napier;Tukituki;Ikaroa-Rawhiti;06 8760923;0;office@kereru.school.nz;Chris Birch;0;2306 Kereru Road;0;Hastings;Kereru Road RD 1;0;Hastings;4171;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Hawkes Bay/Gisborne;Maraekakaho;Kahuranaki Ward;-39.655.869;176.407.528;29;27;2;0;0;0;0;0
5;Kerikeri High School;6;N;-1;-1;1022;1405;Secondary (Year 7-15);State;Far North District;Northland Region;Whangarei;Northland;Te Tai Tokerau;09 4078916;09 4079323;enquiries@kerikerihigh.ac.nz;Elizabeth Forgie;http://www.kerikerihigh.ac.nz;48 Hone Heke Road;0;Kerikeri;PO Box 92;0;Kerikeri;245;Minor Urban Area;Secondary (Year 7-15);Not Applicable;State: Not integrated;Co-Educational;Tai Tokerau;Kerikeri;Bay of Islands-Whangaroa Ward;-35.228.354;173.955.389;1501;965;399;21;55;11;8;42
1034;Kerikeri Primary School;5;M;-2;-2;0;538;Contributing;State;Far North District;Northland Region;Whangarei;Northland;Te Tai Tokerau;09 4078414;09 4078429;admin@kkps.school.nz;Andrew Read;http://www.kerikeriprimary.school.nz;Hone Heke Road;0;Kerikeri;PO Box 773;0;Kerikeri;245;Minor Urban Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Tai Tokerau;Kerikeri;Bay of Islands-Whangaroa Ward;-35.228.343;173.956.451;537;345;166;8;10;8;0;0
2879;Khandallah School;10;Z;0;0;0;402;Contributing;State;Wellington City;Wellington Region;Wellington;Ohariu;Te Tai Tonga;04 4796685;04 4796687;office@khandallah.school.nz;Trevor Jeffries;http://www.khandallah.school.nz/;20 Clark Street;Khandallah;Wellington;20 Clark Street;Khandallah;Wellington;6035;Main Urban Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Wellington;Khandallah Park-Broadmeadows;Onslow-Western Ward;-41.244.029;174.789.742;425;321;35;6;51;4;8;0
631;Kia Aroha College;1;B;0;0;196;284;Secondary (Year 7-15);State;Auckland- Otara-Papatoetoe;Auckland Region;Auckland South;Botany;Tamaki Makaurau;09 2745807;09 2745942;emily.singh@kiaaroha.school.nz;Beverley Milne;http://www.kiaaroha.school.nz/;51 Othello Drive;Otara;Auckland;51 Othelllo Drive;Otara;Auckland;2023;Main Urban Area;Secondary (Year 7-15);Designated Character School;State: Not integrated;Co-Educational;Auckland;Clover Park;Manukau Ward;-36.980.854;174.892.768;273;4;121;141;7;0;0;0
1776;Kihikihi School;3;H;-1;-2;0;146;Full Primary;State;Waipa District;Waikato Region;Hamilton;Taranaki-King Country;Hauraki-Waikato;07 8716152;07 8716151;office@kihikihi.school.nz;Andrew Morgan;http://www.kihikihi.school.nz;71 Whitmore Street;0;Kihikihi;71 Whitmore Street;Kihikihi;Te Awamutu;3800;Main Urban Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Waikato;Kihikihi;Te Awamutu Ward;-38.040.619;17.535.508;176;36;135;3;1;1;0;0
2880;Kilbirnie School;10;Z;0;0;0;231;Contributing;State;Wellington City;Wellington Region;Wellington;Rongotai;Te Tai Tonga;04 9392311;04 9392312;office@kilbirnie.school.nz;Michael McGimpsey;http://www.kilbirnie.school.nz;72 Hamilton Road;Hataitai;Wellington;PO Box 14543;Kilbirnie;Wellington;6241;Main Urban Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Wellington;Kilbirnie West-Hataitai South;Eastern Ward;-41.308.635;174.793.705;230;165;24;9;26;2;4;0
2379;Kimbolton School;5;M;-2;-2;0;78;Full Primary;State;Manawatu District;Manawatu-Wanganui Region;Whanganui;Rangitikei;Te Tai Hauauru;06 3285880;06 3285808;office@kimbolton.school.nz;Linda Campbell;http://www.kimbolton.school.nz;Flyger Street;0;Kimbolton;4 Henderson Street RD 54;0;Kimbolton;4774;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Taranaki/Whanganui/Manawatu;Kiwitea;Kiwitea-Pohangina Ward;-40.053.459;175.778.381;76;62;11;2;0;0;1;0
2746;Kimi Ora Community School;1;A;0;0;0;86;Full Primary;State;Hastings District;Hawkes Bay Region;Napier;Tukituki;Ikaroa-Rawhiti;06 8799633;06 8799785;office@kimiorahb.school.nz;Matt O'Dowda;http://kimioraschoolhb.weebly.com;Boston Crescent;Flaxmere;Hastings;1 Boston Crescent;Flaxmere;Hastings;4120;Main Urban Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Hawkes Bay/Gisborne;Kingsley-Chatham;Flaxmere Ward;-3.961.362;176.773.163;91;2;32;57;0;0;0;0
514;Kimi Ora School;8;P;0;0;20;50;Special School;State;Lower Hutt City;Wellington Region;Wellington;Rimutaka;Ikaroa-Rawhiti;04 5675834;04 5675836;admin@kimiora.school.nz;Shirley Jones;http://kimiora.school.nz/;100 Walters Street;Naenae;Lower Hutt;PO Box 35017;Naenae;Lower Hutt;5041;Main Urban Area;Special School;Sch. for Physical Disabilities;State: Not integrated;Co-Educational;Wellington;Avalon East;Central Ward;-41.197.646;174.942.649;50;24;12;4;8;1;1;0
1777;Kimihia School;3;G;1;1;0;349;Full Primary;State;Waikato District;Waikato Region;Hamilton;Waikato;Hauraki-Waikato;07 8287495;07 8287695;office@kimihia.school.nz;Pamela Dunn;http://www.kimihia.school.nz;Tamihana Avenue;0;Huntly;PO Box 36;0;Huntly;3740;Minor Urban Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Waikato;Huntly East;Huntly Ward;-37.543.187;175.171.861;391;148;208;23;10;1;1;0
383;Kings High School (Dunedin);7;O;1;1;962;962;Secondary (Year 9-15);State;Dunedin City;Otago Region;Dunedin;Dunedin South;Te Tai Tonga;03 4557547;03 4556688;office@kingshigh.school.nz;Daniel Reddiex;http://www.kingshigh.school.nz;270 Bay View Road;0;Dunedin;270 Bay View Road;South Dunedin;Dunedin;9012;Main Urban Area;Secondary (Year 9-15);School with Boarding Facilities;State: Not integrated;Boys School;Otago/Southland;Forbury;Central Ward;-45.902.928;170.494.239;1027;797;118;36;32;7;14;23
1333;Kingsford School;1;C;0;1;0;359;Contributing;State;Auckland- Mangere-Otahuhu;Auckland Region;Auckland South;Mangere;Tamaki Makaurau;09 2759447;09 2757315;office@kingsford.school.nz;Rex Buckley;http://www.kingsford.school.nz;54 Raglan Street;Mangere East;Auckland;54 Raglan Street;Mangere East;Manukau;2024;Main Urban Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Auckland;Aorere;Manukau Ward;-36.973.509;17.482.739;364;0;80;264;20;0;0;0
603;KingsGate School;5;M;0;0;0;60;Full Primary;State: Integrated;Auckland- Franklin;Auckland Region;Auckland South;Hunua;Hauraki-Waikato;09 2390297;09 2390297;admin@kingsgate.school.nz;Teresa Thomson;http://www.kingsgate.school.nz;53 Victoria Street;Pukekohe West;Auckland;53 Victoria Street;0;Pukekohe;2120;Secondary Urban Area;Full Primary;Not Applicable;State: Integrated;Co-Educational;Auckland;Pukekohe North;Franklin Ward;-37.200.017;174.896.801;67;41;7;13;2;1;3;0
633;Kingsview School;10;Z;0;0;0;32;Full Primary;State: Integrated;Queenstown-Lakes District;Otago Region;Dunedin;Clutha-Southland;Te Tai Tonga;03 451 1444;0;office@kingsview.school.nz;Rebekah Key;http://www.kingsview.school.nz;14 Yewlett Cresent;Frankton;Queenstown;PO Box 2113;0;Queenstown;9349;Secondary Urban Area;Full Primary;Not Applicable;State: Integrated;Co-Educational;Otago/Southland;Frankton;Queenstown-Wakatipu Ward;-45.017.714;168.727.617;48;36;3;1;6;2;0;0
432;Kingsway School;9;Q;-1;-1;531;1245;Composite (Year 1-15);State: Integrated;Auckland- Hibiscus and Bays;Auckland Region;Auckland North;Rodney;Te Tai Tokerau;09 4270900;09 4270919;0;Graeme Budler;http://www.kingsway.school.nz;100 Jelas Road;0;Red Beach;100 Jelas Road;0;Red Beach;932;Main Urban Area;Composite (Year 1-15);Not Applicable;State: Integrated;Co-Educational;Auckland;Silverdale Central;Albany Ward;-36.605.641;174.683.043;1323;852;58;59;171;130;13;40
1778;Kinohaku School;4;L;0;0;0;31;Full Primary;State;Waitomo District;Waikato Region;Hamilton;Taranaki-King Country;Te Tai Hauauru;07 8767550;07 8767550;office@kinohaku.school.nz;Isaac Taylor;0;22 Kawhia Harbour Road;0;Taharoa;22 Kawhia Harbour Road RD 8;0;Te Kuiti;3988;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Waikato;Marokopa;Waitomo Rural Ward;-38.159.021;174.822.338;29;13;16;0;0;0;0;0
1779;Kio Kio School;8;P;1;1;0;149;Full Primary;State;Otorohanga District;Waikato Region;Hamilton;Taranaki-King Country;Te Tai Hauauru;07 8731816;07 8731666;admin@kiokio.school.nz;Christine Patel;http://www.kiokio.school.nz;1701 State Highway 3;Kio Kio;Otorohanga;1701 Otorohanga Road RD 4;0;Otorohanga;3974;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Waikato;Otorohanga Rural East;Kiokio-Korakonui Ward;-38.162.046;175.276.714;134;93;37;1;3;0;0;0
3396;Kirkwood Intermediate;7;O;0;0;0;280;Intermediate;State;Christchurch City;Canterbury Region;Christchurch;Ilam;Te Tai Tonga;03 3487718;03 3481085;school.information@kirkwood.school.nz;Philip Tappenden;http://www.kirkwood.school.nz;260 Riccarton Road;Riccarton;Christchurch;PO Box 29242;Fendalton;Christchurch;8540;Main Urban Area;Intermediate;Not Applicable;State: Not integrated;Co-Educational;Canterbury;Upper Riccarton;Riccarton-Wigram Ward;-43.530.607;172.585.501;295;195;36;8;42;6;1;7
3397;Kirwee Model School;10;Z;0;0;0;149;Contributing;State;Selwyn District;Canterbury Region;Christchurch;Selwyn;Te Tai Tonga;03 3181850;03 3178002;office@kirweemodel.school.nz;Sarah Wiki-Bennett;http://www.kirweemodel.school.nz;School Lane;0;Kirwee;PO Box 129;0;Kirwee;7543;Rural Area;Contributing;Model School;State: Not integrated;Co-Educational;Canterbury;Kirwee;Malvern Ward;-43.496.674;172.218.161;141;123;17;0;0;1;0;0
1780;Kiwitahi School;10;Z;-2;-2;0;35;Contributing;State;Matamata-Piako District;Waikato Region;Hamilton;Waikato;Hauraki-Waikato;07 8874823;07 8874843;administrator@kiwitahi.school.nz;Jordan Palfrey;http://www.kiwitahi.school.nz;2 Chepmell Road;0;Kiwitahi;8 Chepmell Road RD 1;0;Morrinsville;3371;Rural Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Waikato;Tahuroa;Morrinsville Ward;-37.740.001;175.583.388;33;25;8;0;0;0;0;0
2382;Kiwitea School;9;Q;-1;-1;0;32;Full Primary;State;Manawatu District;Manawatu-Wanganui Region;Whanganui;Rangitikei;Te Tai Hauauru;06 3289744;06 3289744;office@kiwitea.school.nz;Dirk Jochem;http://kiwitea.school.nz;7 Perry Line RD 7;0;Feilding;7 Perry Line RD 7;0;Feilding;4777;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Taranaki/Whanganui/Manawatu;Kiwitea;Kiwitea-Pohangina Ward;-40.106.994;175.720.421;31;31;0;0;0;0;0;0
3973;Knapdale School;8;P;1;1;0;54;Full Primary;State;Gore District;Southland Region;Invercargill;Clutha-Southland;Te Tai Tonga;03 2089473;03 2083512;principal@knapdale.school.nz;Lynette Bruce;0;Knapdale Road;0;Gore;872 Knapdale Road RD 3;0;Gore;9773;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Otago/Southland;Chatton;Waikaka Ward;-46.009.975;168.918.606;59;49;3;0;5;1;1;0
1781;Knighton Normal School;5;M;0;0;0;616;Contributing;State;Hamilton City;Waikato Region;Hamilton;Hamilton East;Hauraki-Waikato;07 8565399;07 8565393;knighton@kns.ac.nz;Jeffrey Freeman;http://www.kns.ac.nz;Knighton Road;Hillcrest;Hamilton;Knighton Road;Hillcrest;Hamilton;3216;Main Urban Area;Contributing;Normal School;State: Not integrated;Co-Educational;Waikato;University;East Ward;-37.793.054;175.310.072;624;167;259;56;89;47;5;1
6939;Kohia Terrace School;9;Q;-1;-1;0;352;Full Primary;State;Auckland- Albert-Eden;Auckland Region;Auckland South;Epsom;Tamaki Makaurau;09 6304525;0;office@kts.school.nz;Alison Spence;http://www.kts.school.nz;3 Kohia Terrace;Epsom;Auckland;3 Kohia Terrace;Epsom;Auckland;1023;Main Urban Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Auckland;Epsom Central;Albert-Eden-Roskill Ward;-36.885.336;174.770.216;354;142;11;9;176;7;0;9
1334;Kohimarama School;10;Z;0;0;0;510;Full Primary;State;Auckland- Orakei;Auckland Region;Auckland South;Tamaki;Tamaki Makaurau;09 5285306;09 5285397;office@kohi.school.nz;Diane Manners;http://www.kohi.school.nz;112 Kohimarama Road;Kohimarama;Auckland;112 Kohimarama Road;Kohimarama;Auckland;1071;Main Urban Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Auckland;Kohimarama West;Orakei Ward;-36.854.781;174.837.156;487;392;23;6;43;12;11;0
1035;Kohukohu School;2;E;0;-1;0;49;Full Primary;State;Far North District;Northland Region;Whangarei;Northland;Te Tai Tokerau;09 4055877;09 4055866;administration@kohukohu.school.nz;Tanya Filia;http://kohukohu.school.nz/;Beach Road;0;Kohukohu;PO Box 52;0;Kohukohu;453;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Tai Tokerau;Kohukohu;Kaikohe-Hokianga Ward;-35.359.777;173.544.154;57;10;47;0;0;0;0;0
3398;Kokatahi-Kowhitirangi School;8;P;0;0;0;59;Contributing;State;Westland District;West Coast Region;Nelson;West Coast-Tasman;Te Tai Tonga;03 7556375;03 7556375;office@kokatahi.school.nz;Megan McLellan;0;Upper Kokatahi Road;0;Hokitika;Upper Kokatahi Road RD 1;0;Hokitika;7881;Rural Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Nelson/Marlborough/West Coast;Hokitika Valley;Northern Ward;-42.834.259;17.103.775;61;57;3;0;0;1;0;0
1036;Kokopu School;8;P;-1;-1;0;53;Full Primary;State;Whangarei District;Northland Region;Whangarei;Whangarei;Te Tai Tokerau;09 4346765;09 4346765;office@kokopu.school.nz;Mark Ashcroft;http://www.kokopu.school.nz;Kokopu Road;0;Whangarei;Kokopu Road RD 9;0;Whangarei;179;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Tai Tokerau;Wharekohe-Oakleigh;Mangakahia-Maungatapere Ward;-35.707.738;174.139.157;62;44;15;3;0;0;0;0
1647;Konini Primary School (Wainuiomata);4;J;0;-1;0;238;Contributing;State;Lower Hutt City;Wellington Region;Wellington;Hutt South;Ikaroa-Rawhiti;04 9397725;04 9397742;admin@konini-primary.school.nz;Andrea Scanlan;http://www.konini-primary.school.nz;28 Konini Street;Wainuiomata;Lower Hutt;28 Konini Street;Wainuiomata;Lower Hutt;5014;Main Urban Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Wellington;Parkway;Wainuiomata Ward;-41.254.826;174.936.129;222;77;73;46;24;2;0;0
1335;Konini School (Auckland);5;M;-1;-1;0;424;Contributing;State;Auckland- Waitakere Ranges;Auckland Region;Auckland North;Kelston;Tamaki Makaurau;09 8185005;09 8186952;office@konini.school.nz;Michael Malins;http://www.konini.school.nz;73 Withers Road;Glen Eden;Auckland;73 Withers Road;Glen Eden;Waitakere;602;Main Urban Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Auckland;Konini;Waitakere Ward;-36.927.233;17.464.289;417;225;70;38;64;16;4;0
2385;Kopane School;8;P;0;0;0;46;Full Primary;State;Manawatu District;Manawatu-Wanganui Region;Whanganui;Rangitikei;Te Tai Hauauru;06 3248717;06 3248717;office@kopane.school.nz;Neal Duff;http://www.kopane.school.nz;Rongotea Road;0;Palmerston North;1058 Rongotea Road RD 6;0;Palmerston North;4476;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Taranaki/Whanganui/Manawatu;Oroua Downs-Waitohi;Kairanga Ward;-40.310.271;175.487.357;42;34;7;1;0;0;0;0
1782;Kopuarahi School;4;K;-3;-4;0;21;Full Primary;State;Hauraki District;Waikato Region;Hamilton;Coromandel;Hauraki-Waikato;07 8675048;0;office@kopuarahi.school.nz;Barbara McFarlane;http://www.kopuarahi.school.nz;Bush Road;0;Thames;Bush Road RD 4;0;Thames;3574;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Waikato;Turua;Plains Ward;-37.220.224;17.550.648;27;11;14;1;0;0;1;0
2882;Koputaroa School;6;N;0;0;0;176;Full Primary;State;Horowhenua District;Manawatu-Wanganui Region;Wellington;Otaki;Te Tai Hauauru;06 3687938;06 3687935;office@koputaroa.school.nz;Danielle Maclean;http://www.koputaroa.school.nz/;399 Koputaroa Road;0;Levin;399 Koputaroa Road RD 5;0;Levin;5575;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Wellington;Mangaore-Manakau;Waiopehu Ward;-40.578.429;175.337.387;172;132;30;5;4;0;1;0
1783;Korakonui School;8;P;0;0;0;160;Full Primary;State;Otorohanga District;Waikato Region;Hamilton;Taranaki-King Country;Te Tai Hauauru;07 8722762;07 8722763;office@korakonui.school.nz;Carla McNeil;http://www.korakonui.school.nz;734 Wharepuhunga Road;Korakonui;Te Awamutu;Wharepuhunga Road RD 3;0;Te Awamutu;3873;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Waikato;Otorohanga Rural East;Kiokio-Korakonui Ward;-38.144.041;175.409.784;182;138;35;0;3;5;1;0
2100;Koraunui School;3;I;-1;-1;0;322;Contributing;State;Lower Hutt City;Wellington Region;Wellington;Rimutaka;Ikaroa-Rawhiti;04 9399707;04 9399708;barbara.hay@koraunui.school.nz;Barbara Hay;0;17 Kairimu Street;Stokes Valley;Lower Hutt;17 Kairimu Street;Stokes Valley;Lower Hutt;5019;Main Urban Area;Contributing;Not Applicable;State: Not integrated;Co-Educational;Wellington;Manuka;Northern Ward;-41.180.552;174.984.856;329;93;162;42;28;4;0;0
2883;Korokoro School;10;Z;0;0;0;145;Full Primary;State;Lower Hutt City;Wellington Region;Wellington;Hutt South;Te Tai Tonga;04 5691821;04 5691684;admin@korokoro.school.nz;Martin Hookham;http://www.korokoro.school.nz;Korokoro Road;Petone;Lower Hutt;Korokoro Road;Korokoro;Lower Hutt;5012;Main Urban Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Wellington;Korokoro;Harbour Ward;-41.215.812;174.867.211;153;122;16;0;13;1;1;0
1784;Koromatua School;6;N;0;0;0;199;Full Primary;State;Waipa District;Waikato Region;Hamilton;Taranaki-King Country;Hauraki-Waikato;07 8479828;07 8479803;enquiries@koromatua.school.nz;Nigel Farthing;http://www.koromatua.school.nz;355 Koromatua Road;0;Hamilton;355 Koromatua Road RD 10;0;Hamilton;3290;Main Urban Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Waikato;Ngahinapouri;Pirongia Ward;-37.831.616;175.207.492;191;14;160;14;2;1;0;0
1336;Koru School;1;B;0;0;0;547;Full Primary;State;Auckland- Mangere-Otahuhu;Auckland Region;Auckland South;Mangere;Tamaki Makaurau;09 2759194;09 2750839;koruadmin@koru.school.nz;Stanley Whata;0;71 Robertson Road;Mangere;Auckland;71 Robertson Road;Favona;Manukau;2024;Main Urban Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Auckland;Favona West;Manukau Ward;-36.958.267;174.803.964;592;3;94;467;26;2;0;0
2587;Kotemaori School;8;P;4;5;0;8;Full Primary;State;Wairoa District;Hawkes Bay Region;Napier;Napier;Ikaroa-Rawhiti;06 8376880;06 8376880;kotemaori@xtra.co.nz;Simon Couling;0;State Highway 2;0;Kotemaori;State Highway 2 RD 1;0;Kotemaori;4188;Rural Area;Full Primary;Not Applicable;State: Not integrated;Co-Educational;Hawkes Bay/Gisborne;Raupunga;Area Outside Ward;-39.062.472;17.703.526;11;5;6;0;0;0;0;0
1337;Kowhai Intermediate;7;O;1;1;0;401;Intermediate;State;Auckland- Albert-Eden;Auckland Region;Auckland South;Mt Albert;Tamaki Makaurau;09 8467534;09 8467918;admin@kowhai.school.nz;Louise Broad;http://www.kowhai.school.nz;26 Onslow Road;Kingsland;Auckland;26 Onslow Road;Mount Eden;Auckland;1024;Main Urban Area;Intermediate;Not Applicable;State: Not integrated;Co-Educational;Auckland;Kingsland;Albert-Eden-Roskill Ward;-36.872.187;174.748.562;477;214;96;104;44;17;2;0
2588;Kowhai School;2;E;0;0;34;69;Special School;State;Hastings District;Hawkes Bay Region;Napier;Tukituki;Ikaroa-Rawhiti;06 8783506;06 8781262;admin@kowhaispecial.school.nz;Sarah Roil;http://www.kowhaispecial.school.nz;407 Hastings St South;Akina;Hastings;PO Box 585;0;Hastings;4156;Main Urban Area;Special School;Sch. for Intellectual Impairments;State: Not integrated;Co-Educational;Hawkes Bay/Gisborne;Akina;Hastings Ward;-3.964.652;176.841.567;92;34;41;11;6;0;0;0
